"Name","Number","Secondary","Description","Type","Tier","Currency","Pricing",Price,"Code","Substitute","Group","Serialized Module"
Product #1,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #2,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #3,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #4,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #5,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #6,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #7,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #8,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #9,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #10,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #11,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
Product #12,1111,,,"Service Intangible",,EUR,"Price",2.5,,,,N
